symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
gpc,1.11,-18.35%,5.66%,108.58,49.68,86.88,84.72,883.12k,560.93k,144.26M,141.29M,2.76%,80.93%,3.12M,3.6,2.88%,2.16%,2.88M,3.16,3.74%,3.08,3.64%,2.92,75.24%,"Jun 30, 2020","Jun 03, 2020",3:2,"Apr 14, 1997","Dec 30, 2019","Mar 30, 2020",3.11%,5.59%,4.71%,17.08%,19.22B,132.06,-3.70%,6.32B,1.35B,597.37M,4.09,-14.80%,354.47M,2.46,4.49B,131.06,1.22,23.59,904.34M,891.4M
fast,1.18,40.25%,5.66%,44.79,26.72,41.96,37.08,4.34M,4.71M,572.82M,570.63M,0.33%,85.44%,19.21M,4.44,3.83%,3.35%,24.92M,1,2.32%,0.90,2.10%,2.63,65.11%,"May 25, 2020","Apr 26, 2020",2:1,"May 22, 2019","Dec 30, 2019","Mar 30, 2020",14.83%,19.77%,17.56%,31.64%,5.39B,9.40,4.40%,2.52B,1.22B,799.4M,1.39,4.40%,160.7M,0.28,699.1M,26.32,4.25,4.64,878.9M,495.26M
ilmn,0.99,22.48%,5.66%,384.21,196.78,362.36,313.17,966.85k,799.72k,147M,146.39M,0.34%,96.21%,3.09M,2.94,2.40%,2.10%,3.04M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Sep 22, 2008","Dec 28, 2019","Mar 28, 2020",26.49%,28.49%,8.64%,21.48%,3.56B,24.19,1.50%,2.5B,1.2B,942M,6.34,-25.80%,3.33B,22.67,1.89B,40.84,4.10,31.53,1.13B,708.12M
ulta,1.46,-44.90%,5.66%,368.83,124.05,221.63,231.06,1.24M,1.11M,56.31M,54.07M,4.41%,92.86%,2.72M,2.06,5.70%,4.84%,2.84M,N/A,N/A,N/A,N/A,N/A,0.00%,"May 14, 2012","Mar 15, 2012",N/A,N/A,"Jan 31, 2020","May 01, 2020",6.37%,8.52%,7.06%,23.55%,6.83B,119.19,-32.70%,3B,881.1M,435.22M,7.57,N/A,1.15B,20.49,2.79B,159.00,2.49,31.15,805.3M,363.86M
tdg,1.50,-15.55%,5.66%,673.51,200.06,446.06,462.46,705.81k,503.55k,54.07M,53.5M,1.07%,100.88%,3.23M,4.12,8.01%,5.98%,3.47M,N/A,N/A,N/A,N/A,N/A,0.00%,"Jan 06, 2020","Dec 26, 2019",N/A,N/A,"Sep 29, 2019","Mar 27, 2020",18.67%,39.06%,8.47%,N/A,5.97B,105.08,23.50%,2.9B,2.62B,726.32M,14.83,57.90%,2.67B,49.34,19.04B,N/A,3.14,-77.89,1.16B,1.76B
ipg,1.06,-28.43%,5.66%,25.20,11.63,17.51,18.82,5.16M,3.64M,389.61M,386.68M,0.65%,104.02%,18.69M,3.65,7.42%,4.80%,22.85M,1.02,6.22%,0.96,5.86%,3.32,56.14%,"Jun 14, 2020","May 28, 2020",2:1,"Jul 15, 1999","Dec 30, 2019","Mar 30, 2020",7.78%,12.90%,4.26%,26.15%,8.59B,22.21,-1.60%,1.81B,1.39B,668.7M,1.70,N/A,1.55B,3.99,5.87B,214.93,0.97,6.50,1.35B,1.04B
wdc,1.60,-22.57%,5.66%,72.00,27.40,43.95,50.59,5.92M,3.94M,299.7M,298.42M,0.36%,86.43%,10.59M,1.91,3.96%,3.53%,9.96M,N/A,N/A,2.00,4.73%,3.38,N/A,"Apr 16, 2020","Apr 01, 2020",2:1,"Jun 03, 1997","Jun 27, 2019","Apr 02, 2020",-3.70%,-1.60%,-0.62%,-6.12%,16.08B,54.11,13.60%,3.75B,1.34B,-595M,-2.01,N/A,2.94B,9.82,9.88B,106.86,1.91,30.81,821M,721.88M
emn,1.67,-9.71%,5.66%,83.99,34.44,70.42,64.38,1.34M,1.03M,135.89M,134.94M,0.62%,84.05%,2.61M,1.87,2.16%,1.92%,3.36M,2.64,3.86%,2.56,3.75%,2.72,43.54%,"Jul 09, 2020","Jun 11, 2020",2:1,"Oct 03, 2011","Dec 30, 2019","Mar 30, 2020",8.85%,14.07%,4.89%,13.43%,9.13B,66.84,-5.80%,2.23B,1.88B,808M,5.87,23.40%,697M,5.13,6.48B,104.67,1.66,45.03,1.68B,1.05B
acn,1.06,12.77%,5.66%,220.86,137.15,207.84,192.84,2.35M,1.77M,636.2M,635.09M,0.19%,74.68%,6.87M,3.08,1.08%,1.08%,7.79M,3.2,1.46%,3.20,1.46%,1.74,31.41%,"Aug 13, 2020","Jul 14, 2020",10:1,"Dec 29, 2011","Aug 30, 2019","May 30, 2020",11.11%,14.68%,12.93%,32.82%,44.55B,69.98,-1.00%,13.31B,7.22B,4.95B,7.64,-1.70%,6.45B,10.13,3.51B,21.31,1.37,25.18,7.18B,5.76B
pnw,0.32,-16.54%,5.66%,105.51,60.05,76.03,82.90,1.2M,885.28k,112.49M,112.16M,0.43%,87.19%,2.61M,1.9,3.06%,2.32%,2.88M,3.13,4.10%,3.04,3.99%,3.35,62.30%,"Aug 31, 2020","Jul 30, 2020",10:1,"Apr 27, 2011","Dec 30, 2019","Mar 30, 2020",16.22%,20.16%,2.35%,10.38%,3.39B,30.16,-10.60%,1.49B,1.35B,550.4M,4.88,67.40%,63.14M,0.56,6.11B,109.17,0.47,48.62,966.92M,-381.18M
itw,1.17,15.07%,5.66%,190.85,115.94,172.98,167.41,1.41M,1.01M,315.93M,288.86M,0.21%,82.28%,9.13M,7.19,3.09%,2.89%,9.15M,4.28,2.47%,4.21,2.43%,2.19,54.68%,"Jul 14, 2020","Jun 28, 2020",2:1,"May 25, 2006","Dec 30, 2019","Mar 30, 2020",18.06%,24.27%,14.19%,90.81%,13.78B,42.86,-9.10%,5.92B,3.76B,2.49B,7.70,-5.20%,1.43B,4.53,7.69B,336.86,2.71,7.23,2.99B,2.24B
syk,0.85,-13.43%,5.66%,226.30,124.54,188.51,190.03,1.72M,1.15M,375.38M,331.71M,7.45%,76.43%,3.16M,1.92,0.96%,0.84%,4.12M,2.3,1.29%,2.19,1.23%,1.18,38.49%,"Jul 30, 2020","Jun 28, 2020",2:1,"May 16, 2004","Dec 30, 2019","Mar 30, 2020",14.47%,22.55%,7.61%,17.45%,14.96B,39.95,2.00%,9.8B,4.16B,2.16B,5.69,19.70%,4.05B,10.78,10.9B,83.13,2.58,34.94,2.47B,1.5B
f,1.30,-41.46%,5.66%,10.56,3.96,6.25,6.57,88.63M,67.51M,3.91B,3.9B,0.18%,55.06%,123.57M,1.19,3.49%,3.11%,146.29M,N/A,N/A,0.60,10.27%,5.84,N/A,"Mar 01, 2020","Jan 28, 2020",1748175:1000000,"Aug 02, 2000","Dec 30, 2019","Mar 30, 2020",-2.06%,0.17%,0.06%,-9.33%,149.88B,37.76,-14.90%,12.88B,8.75B,-3.09B,-0.78,N/A,34.29B,8.62,168.69B,568.03,1.32,7.45,13.62B,3.74B
ph,1.67,4.55%,5.66%,215.94,93.00,183.51,172.62,1.41M,994.85k,128.22M,127.44M,0.35%,83.66%,1.79M,1.21,1.41%,1.40%,2.17M,3.52,2.00%,3.52,2.00%,1.88,34.51%,"Jun 04, 2020","May 06, 2020",3:2,"Oct 01, 2007","Jun 29, 2019","Mar 30, 2020",9.31%,14.49%,7.19%,21.50%,14.22B,110.69,0.40%,3.63B,2.56B,1.32B,10.21,-10.70%,790.15M,6.16,9.27B,146.99,1.49,49.10,1.93B,1.3B
anss,1.22,43.02%,5.66%,307.60,186.81,286.59,263.91,514.39k,357.03k,85.6M,84.84M,0.98%,101.75%,2.18M,4.52,2.87%,2.55%,2.09M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Jun 04, 2007","Dec 30, 2019","Mar 30, 2020",27.34%,30.48%,7.25%,13.76%,1.5B,17.74,-3.80%,1.37B,526.17M,411.13M,4.76,-46.60%,718.03M,8.39,549.34M,16.68,2.40,38.47,495.77M,359.47M
vrtx,0.94,66.95%,5.66%,306.08,165.23,282.55,251.73,1.94M,1.26M,259.28M,258.87M,0.14%,97.83%,4.21M,2.04,1.62%,1.62%,3.97M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 23, 2000","Dec 30, 2019","Mar 30, 2020",31.35%,34.17%,13.34%,27.02%,4.82B,18.70,76.50%,1.86B,1.75B,1.51B,5.78,124.40%,4.19B,16.16,532.95M,8.25,3.54,24.94,2.06B,1.33B
hfc,1.73,-42.57%,5.66%,58.88,18.48,31.07,33.69,2.2M,1.9M,161.89M,159.76M,0.80%,87.77%,6.27M,2.87,4.37%,3.87%,6.6M,1.4,5.34%,1.36,5.19%,3.45,107.94%,"Jun 17, 2020","May 21, 2020",1:1,"Aug 21, 2013","Dec 30, 2019","Mar 30, 2020",1.26%,3.81%,3.46%,4.76%,16.99B,103.57,-12.70%,2.29B,1.03B,214.04M,1.30,N/A,909.13M,5.65,2.96B,48.49,1.92,34.78,1.52B,1.44B
fcx,2.26,16.43%,5.66%,13.64,4.82,10.86,10.04,23.08M,27.77M,1.45B,1.42B,0.70%,75.17%,46.23M,1.94,3.58%,3.18%,49.36M,0.2,3.48%,0.15,1.16%,N/A,N/A,"Feb 02, 2020","Jan 13, 2020",2:1,"Feb 01, 2011","Dec 30, 2019","Mar 30, 2020",-5.68%,-0.52%,-0.11%,-4.69%,13.41B,9.24,-26.20%,2.71B,1.56B,-766M,-0.53,N/A,1.72B,1.18,10.07B,59.39,2.34,6.10,910M,-1.2B
uhs,1.05,-32.89%,5.66%,157.79,65.20,98.47,112.97,730.75k,670.5k,77.67M,75.29M,2.39%,98.75%,1.64M,2.22,2.45%,1.93%,2.19M,N/A,N/A,0.70,0.79%,0.36,8.54%,"Mar 15, 2020","Feb 27, 2020",2:1,"Dec 15, 2009","Dec 30, 2019","Mar 30, 2020",6.34%,10.61%,6.48%,13.30%,11.4B,130.15,0.90%,4.54B,1.7B,720.84M,8.20,-39.30%,54.62M,0.64,4.15B,75.55,1.09,63.74,1.51B,710.01M
gd,N/A,N/A,N/A,193.76,100.55,151.16,153.79,1.8M,1.11M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.16,3.01%,N/A,N/A,"Aug 06, 2020",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.06B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pnc,1.26,-27.53%,5.66%,161.79,79.41,110.69,119.98,3.21M,2.87M,424.26M,421.35M,0.23%,84.49%,5.59M,1.62,1.32%,1.32%,6.46M,4.6,4.65%,4.40,4.45%,2.45,41.01%,"Aug 04, 2020","Jul 15, 2020",2:1,"Nov 15, 1992","Dec 30, 2019","Mar 30, 2020",30.29%,36.36%,1.21%,10.35%,16.56B,37.59,-12.10%,17.05B,N/A,4.76B,10.75,-28.00%,17.22B,40.58,74.88B,N/A,N/A,106.77,5.27B,N/A
twtr,0.79,-8.48%,5.66%,45.86,20.00,33.13,31.38,22.94M,37.4M,784.63M,764.66M,3.59%,72.44%,33.76M,1.58,4.92%,4.30%,33.64M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",36.39%,7.62%,1.34%,15.95%,3.48B,4.49,2.60%,2.32B,622M,1.27B,1.61,N/A,7.67B,9.8,4.14B,47.03,11.93,11.24,1.2B,493.57M
kr,0.38,51.45%,5.66%,36.84,20.70,32.77,30.97,11.62M,9.11M,777.93M,751.8M,5.89%,84.40%,54.88M,5.5,7.11%,7.05%,54.73M,0.72,2.20%,0.64,1.95%,1.74,23.75%,"Aug 31, 2020","Aug 12, 2020",2:1,"Jul 13, 2015","Jan 31, 2020","May 22, 2020",1.66%,2.51%,4.35%,21.96%,126.58B,159.32,11.50%,27.85B,5.95B,2.07B,2.59,57.00%,2.73B,3.5,20.64B,221.30,0.83,12.03,6.64B,4.05B
hal,2.57,-48.59%,5.66%,25.47,4.25,12.88,14.29,24.94M,13.64M,877.28M,873.37M,0.35%,83.29%,48.43M,1.95,6.22%,5.52%,50.68M,0.18,1.53%,0.72,6.11%,2.41,N/A,"Jun 23, 2020","Jun 01, 2020",2:1,"Jul 16, 2006","Dec 30, 2019","Mar 30, 2020",-10.60%,7.06%,3.78%,-27.88%,21.71B,24.77,-12.20%,2.29B,3.09B,-2.3B,-2.62,N/A,1.38B,1.58,10.85B,158.57,2.11,7.82,2.71B,1.5B
rl,1.29,-38.72%,5.66%,128.29,59.82,75.62,88.98,1.34M,767.3k,47.78M,43.39M,1.02%,103.37%,4.49M,2.82,10.73%,6.18%,5.48M,N/A,N/A,2.75,4.08%,2.22,55.22%,"Apr 09, 2020","Mar 25, 2020",N/A,N/A,"Mar 27, 2020","Mar 27, 2020",6.24%,9.77%,5.69%,12.85%,6.16B,81.26,-15.40%,3.81B,871.6M,384.3M,4.98,N/A,2.12B,29.13,3.23B,119.83,1.61,36.64,754.6M,654.71M
cprt,1.11,7.16%,5.66%,104.88,55.69,86.15,84.78,1.93M,1.2M,234.78M,206.9M,13.29%,81.49%,3.74M,2.01,1.83%,1.59%,4.44M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Apr 10, 2017","Jul 30, 2019","Apr 29, 2020",30.95%,36.14%,18.08%,35.28%,2.22B,9.59,-0.50%,930.74M,891.11M,687.87M,2.88,-23.50%,306.39M,1.3,516.29M,22.63,2.77,9.72,844.12M,1.99M
mktx,0.63,48.90%,5.66%,561.68,275.50,506.47,412.84,281.95k,193.83k,37.91M,36.59M,3.64%,97.89%,552.15k,1.78,1.67%,1.46%,571.18k,2.4,0.44%,2.13,0.39%,0.66,35.68%,"May 26, 2020","May 11, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",40.87%,50.03%,19.86%,31.80%,555.84M,14.96,35.70%,353.48M,304.84M,227.2M,5.97,42.40%,392.13M,10.34,96.3M,12.07,5.98,21.04,346.94M,195.28M
hpe,1.31,-38.10%,5.66%,17.59,7.43,9.87,11.46,11.77M,9.14M,1.28B,1.28B,0.25%,85.65%,24.73M,1.67,2.22%,1.92%,28.42M,0.48,5.21%,0.47,5.18%,N/A,N/A,"Jun 30, 2020","Jun 08, 2020",1289:1000,"Aug 31, 2017","Oct 30, 2019","Apr 29, 2020",-0.13%,8.21%,2.66%,-0.20%,27.39B,20.93,-16.00%,9.5B,4.83B,-35M,-0.03,N/A,5.14B,4,17.83B,109.69,0.89,12.64,2.65B,877.88M
bxp,1.05,-33.85%,5.66%,147.83,71.57,92.52,109.35,1.73M,1.17M,155.37M,154.99M,0.14%,98.97%,2.65M,1.28,1.97%,1.71%,3.15M,3.92,4.61%,3.86,4.54%,2.54,65.76%,"Jul 30, 2020","Jun 28, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",31.18%,35.67%,3.11%,13.24%,2.95B,19.09,3.70%,1.84B,1.73B,909.41M,5.87,396.50%,660.73M,4.25,12.49B,148.31,4.09,37.65,1.15B,854.56M
alb,1.46,8.93%,5.66%,99.40,48.89,78.03,72.56,1.3M,1.13M,106.32M,105.71M,0.51%,92.64%,13.56M,9.61,14.59%,12.75%,15.36M,1.54,2.03%,1.49,1.96%,1.65,31.18%,"Jun 30, 2020","Jun 10, 2020",2:1,"Mar 01, 2007","Dec 30, 2019","Mar 30, 2020",14.50%,20.94%,5.16%,14.58%,3.5B,32.97,-11.20%,1.26B,949.86M,506.86M,4.77,-19.70%,553.23M,5.2,3.28B,81.25,1.81,36.47,819.51M,27.42M
coo,0.90,-12.82%,5.66%,365.68,236.68,296.74,309.96,379.01k,489.4k,53.33M,48.77M,0.53%,92.91%,851.2k,2.11,2.03%,1.60%,850.18k,0.06,0.02%,0.06,0.02%,0.03,0.87%,"Feb 09, 2020","Jul 21, 2020",2:1,"Nov 24, 2002","Oct 30, 2019","Apr 29, 2020",13.50%,17.22%,4.30%,9.57%,2.54B,51.51,-19.80%,1.76B,718.4M,343.2M,6.87,-90.60%,79.8M,1.62,2.18B,60.13,1.14,73.88,552.1M,135.19M
chtr,1.03,29.73%,5.66%,549.00,345.67,527.48,499.31,1.08M,801.65k,234.2M,134.74M,27.05%,65.63%,8.87M,8.13,7.58%,4.29%,9.07M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,0:1,"May 17, 2016","Dec 30, 2019","Mar 30, 2020",3.91%,14.98%,2.95%,5.33%,46.3B,215.02,4.70%,28.68B,16.81B,1.81B,8.23,56.50%,2.91B,12.46,80.95B,220.45,0.44,126.91,12.28B,4.46B
viac,1.88,-57.04%,5.66%,53.71,10.10,22.62,24.41,12.44M,9.55M,563.11M,548.77M,4.36%,82.70%,61.43M,3.98,11.36%,9.98%,56.68M,0.96,4.34%,N/A,N/A,1.58,28.28%,"Jun 30, 2020","Jun 11, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",6.81%,15.16%,7.10%,20.52%,27.38B,44.50,-6.10%,10.59B,4.57B,1.83B,N/A,-73.70%,589M,0.96,20.38B,147.76,1.22,N/A,657M,15.04B
ups,0.85,8.77%,5.66%,125.31,82.00,107.24,102.84,4.46M,2.8M,704.12M,703.76M,0.01%,71.23%,18.64M,4.32,2.65%,2.16%,17.01M,4.04,3.53%,3.89,3.40%,3.13,78.74%,"Jun 09, 2020","May 21, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",5.73%,7.03%,5.83%,126.33%,74.97B,86.82,5.10%,13.64B,7.71B,4.29B,4.94,-13.10%,9.5B,11.02,31.64B,955.12,1.22,3.83,8.91B,1.25B
ce,1.36,-19.26%,5.66%,128.88,52.70,89.39,91.80,953.73k,709.2k,118.23M,117.17M,0.80%,99.05%,2.17M,2,2.09%,1.83%,2.28M,2.48,2.95%,2.48,2.95%,1.95,40.46%,"May 06, 2020","Apr 23, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",12.08%,15.06%,5.98%,23.97%,6.07B,49.81,-13.50%,1.61B,1.26B,745M,5.99,-35.30%,608M,5.14,4.4B,155.15,1.48,20.71,1.41B,754.25M
exr,0.19,-14.05%,5.66%,124.46,72.70,96.39,98.56,995.9k,679.35k,129.09M,125.81M,2.56%,103.27%,6.13M,6.45,6.82%,4.75%,5.84M,3.6,3.78%,3.60,3.78%,3.39,108.11%,"Jun 29, 2020","Jun 11, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",32.27%,48.86%,4.92%,16.77%,1.34B,10.43,7.40%,979.41M,876.63M,432.7M,3.32,14.10%,93.3M,0.72,5.51B,198.58,0.61,18.58,727.6M,555.96M
regn,0.57,108.20%,5.66%,655.93,271.37,607.83,494.36,1.38M,977.55k,100.75M,106.17M,23.82%,68.35%,2.47M,1.23,3.38%,2.41%,1.78M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",27.40%,29.63%,10.77%,21.13%,8.32B,76.03,33.20%,4.04B,2.68B,2.28B,19.91,35.50%,4B,35.95,715.2M,5.89,4.21,109.28,2.23B,1.28B
chrw,0.59,-2.72%,5.66%,91.23,56.94,79.87,74.15,1.89M,1.69M,134.61M,133.91M,0.87%,98.82%,16.2M,8.07,14.05%,12.04%,14.46M,2.04,2.52%,2.02,2.50%,2.32,56.11%,"Jun 29, 2020","Jun 03, 2020",2:1,"Oct 16, 2005","Dec 30, 2019","Mar 30, 2020",3.21%,4.39%,8.84%,30.45%,15.36B,112.67,1.40%,1.29B,758.12M,493.33M,3.60,-51.70%,294.57M,2.19,1.77B,111.54,1.44,11.79,636.99M,465.01M
ajg,0.75,7.50%,5.66%,109.46,65.09,96.90,92.50,1.26M,701.8k,189.62M,187.75M,0.97%,83.97%,2.03M,1.58,1.39%,1.07%,2.8M,1.8,1.84%,1.74,1.78%,2.54,49.15%,"Jun 18, 2020","Jun 03, 2020",2:1,"Jan 18, 2001","Dec 30, 2019","Mar 30, 2020",9.98%,11.51%,2.49%,14.35%,6.83B,36.49,-3.80%,2.28B,1.32B,681M,3.56,3.70%,352.8M,1.86,5.35B,105.59,1.07,26.52,1.32B,650.68M
flt,1.49,-13.51%,5.66%,329.85,168.51,256.53,257.19,810.7k,608.42k,83.8M,82.14M,1.84%,98.58%,3.14M,3.44,4.32%,3.74%,2.72M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",32.37%,44.87%,6.61%,27.50%,2.69B,31.21,6.30%,2.14B,1.44B,870.03M,9.69,-14.60%,1.07B,12.78,5.26B,187.98,0.93,33.38,1.28B,763.87M
tsn,0.65,-28.42%,5.66%,94.24,42.57,61.50,67.81,3.56M,2.61M,294.31M,286.38M,2.50%,90.30%,4.57M,1.2,1.82%,1.25%,4.24M,1.68,3.02%,1.59,2.86%,1.46,29.61%,"Sep 14, 2020","Aug 30, 2020",3:2,"Feb 17, 1997","Sep 27, 2019","Mar 27, 2020",4.52%,6.79%,5.56%,14.07%,43.47B,119.92,4.30%,5.09B,4.1B,1.97B,5.37,-14.60%,439M,1.21,12.66B,86.75,1.61,39.66,2.83B,953.5M
pypl,1.19,47.56%,5.66%,183.99,82.07,164.26,126.75,8.68M,6.83M,1.17B,1.17B,0.13%,86.62%,15.17M,2.01,1.29%,1.29%,12.51M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",10.27%,14.35%,3.26%,12.04%,18.26B,15.55,11.90%,7.99B,3.3B,1.88B,1.58,-87.40%,10.19B,8.68,8.7B,54.32,1.39,13.61,5.04B,2.66B
hpq,1.02,-20.42%,5.66%,23.93,12.54,16.70,18.06,15.34M,12.7M,1.43B,1.43B,0.19%,83.23%,16.47M,0.85,1.29%,1.15%,17.6M,0.7,4.29%,0.67,4.10%,3.25,32.98%,"Oct 06, 2020","Sep 07, 2020",2202:1000,"Nov 01, 2015","Oct 30, 2019","Apr 29, 2020",5.27%,7.67%,8.33%,N/A,57.1B,38.96,-11.20%,11.17B,5.17B,3.01B,2.04,-2.30%,4.05B,2.84,6.64B,N/A,0.78,-0.52,3.71B,2.63B
expd,0.76,4.68%,5.66%,81.64,52.55,75.68,72.61,1.34M,847.43k,166.43M,165.22M,0.65%,98.44%,3.22M,2.24,2.23%,1.93%,3.61M,1.04,1.35%,1.00,1.30%,1.38,30.30%,"Jun 14, 2020","May 28, 2020",2:1,"Jun 25, 2006","Dec 30, 2019","Mar 30, 2020",7.11%,9.16%,12.90%,27.61%,8.06B,47.36,-5.90%,1.05B,788.36M,573.04M,3.30,-12.40%,1.11B,6.68,377.39M,18.53,2.26,12.24,647.45M,486.02M
nem,0.34,57.98%,5.66%,69.13,33.00,58.58,52.45,9.45M,8.55M,802.59M,799.72M,0.38%,85.93%,14.5M,1.37,2.43%,1.81%,13.29M,1,1.59%,0.56,0.89%,0.87,11.81%,"Jun 17, 2020","Jun 02, 2020",5:4,"Apr 21, 1994","Dec 30, 2019","Mar 30, 2020",33.66%,17.91%,3.89%,21.28%,10.52B,13.09,43.20%,4.38B,4.2B,3.6B,4.41,844.80%,3.88B,4.84,6.87B,30.17,3.31,27.19,3.23B,1.71B
len,1.59,37.97%,5.66%,71.38,25.42,61.63,55.97,3.68M,3.33M,274.62M,284.31M,2.07%,98.93%,8.77M,2.17,3.67%,2.81%,10.69M,0.5,0.79%,0.33,0.52%,0.34,4.98%,"Jul 23, 2020","Jul 08, 2020",1017:1000,"Nov 08, 2017","Nov 29, 2019","May 30, 2020",9.30%,11.93%,5.73%,13.12%,22.62B,72.30,-5.00%,4.52B,2.79B,2.08B,6.64,22.80%,1.42B,4.54,8.94B,53.73,8.45,52.98,3.22B,2.29B
ebay,1.33,47.18%,5.66%,60.53,26.02,49.90,39.44,12.59M,11.22M,702.68M,665.13M,5.13%,107.16%,28.7M,2.38,4.30%,4.08%,18.4M,0.64,1.10%,0.58,0.98%,N/A,26.73%,"Jun 18, 2020","May 28, 2020",2376:1000,"Jul 19, 2015","Dec 30, 2019","Mar 30, 2020",43.49%,22.34%,7.28%,48.13%,10.76B,13.25,-1.60%,8.29B,3.07B,1.76B,5.72,558.70%,4.43B,6.32,9.19B,434.75,1.34,3.02,3.16B,3.29B
payc,1.54,26.96%,5.66%,342.00,163.42,311.33,272.40,832.83k,496.28k,58.57M,48.82M,16.17%,77.20%,2.52M,3.01,5.84%,4.30%,3M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",25.17%,32.43%,7.23%,39.33%,780.1M,13.53,21.20%,648.34M,279.08M,196.26M,3.36,33.30%,181.83M,3.17,54.39M,9.07,1.10,10.41,225.87M,142.45M
well,0.84,-40.11%,5.66%,93.17,24.27,53.51,61.42,3.98M,2.15M,417.48M,416.67M,0.17%,93.27%,11.56M,2.61,3.59%,2.77%,12.56M,2.44,4.96%,3.22,6.54%,5.04,103.88%,"May 27, 2020","May 17, 2020",3:2,"Sep 03, 1985","Dec 30, 2019","Mar 30, 2020",24.71%,23.79%,2.39%,8.04%,5.11B,12.56,-1.10%,2.41B,2.29B,1.26B,3.08,10.60%,303.42M,0.73,14.43B,82.48,2.73,38.65,1.6B,722.4M
frt,0.93,-39.30%,5.66%,141.35,64.11,87.20,97.92,932.15k,498.03k,75.63M,74.95M,0.87%,93.61%,2.18M,2.11,3.46%,2.88%,2.54M,4.2,5.33%,4.17,5.29%,3.07,92.05%,"Jul 14, 2020","Jun 18, 2020",3:2,"Nov 05, 1985","Dec 30, 2019","Mar 30, 2020",37.34%,37.22%,3.08%,13.17%,933.38M,12.44,-0.20%,642.45M,583.67M,339.41M,4.52,-8.90%,994.69M,13.15,4.51B,163.32,3.42,30.97,475.75M,395.28M
snps,1.18,44.05%,5.66%,204.90,104.90,187.98,155.67,1.01M,730.9k,150.79M,149.81M,0.73%,91.04%,2.01M,1.8,1.52%,1.34%,1.8M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Sep 23, 2003","Oct 30, 2019","Apr 29, 2020",13.96%,15.94%,5.01%,11.58%,3.4B,22.61,3.00%,2.67B,691.84M,474.62M,3.07,-7.00%,856.42M,5.68,770.34M,18.00,0.95,28.33,981.45M,775.72M
pfe,0.68,-20.87%,5.66%,43.23,27.88,34.53,35.86,27.89M,26.35M,5.55B,5.55B,0.04%,72.56%,53.75M,1.75,0.97%,0.97%,52.59M,1.52,4.54%,1.46,4.36%,3.57,52.14%,"Aug 31, 2020","Jul 29, 2020",3:1,"Jun 30, 1999","Dec 30, 2019","Mar 28, 2020",31.17%,29.36%,5.78%,25.41%,50.66B,9.13,-8.30%,41.74B,20.53B,15.78B,2.80,-12.40%,10.36B,1.87,52.29B,80.03,1.02,11.71,14.02B,19.44B
