symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
intc,0.79,18.77%,5.66%,69.29,43.63,60.59,59.46,23.71M,17.3M,4.23B,4.23B,0.05%,69.04%,38.86M,1.72,0.92%,0.92%,37.8M,1.32,2.26%,1.27,2.18%,2.62,24.76%,"May 31, 2020","May 05, 2020",2:1,"Jul 30, 2000","Dec 27, 2019","Mar 27, 2020",30.02%,33.61%,11.48%,30.31%,75.73B,17.37,23.50%,42.14B,36.71B,22.73B,5.16,42.50%,20.8B,4.91,39.92B,52.28,1.74,18.03,34.34B,13.24B
ffiv,1.09,-2.44%,5.66%,153.99,79.78,140.63,129.37,892.92k,885.5k,60.9M,60.65M,0.32%,95.01%,2.55M,3.62,4.72%,4.19%,1.77M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 20, 2007","Sep 29, 2019","Mar 30, 2020",14.77%,19.68%,7.63%,19.66%,2.31B,38.16,7.10%,1.89B,537.23M,340.65M,5.61,-47.10%,821.15M,13.48,802.44M,40.16,1.12,32.96,682.25M,478.47M
ea,0.93,52.69%,5.66%,141.25,85.69,127.13,112.89,3.1M,2.07M,288.71M,287.15M,0.45%,95.52%,6.65M,2,2.32%,2.30%,6.04M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Nov 17, 2003","Mar 30, 2020","Mar 30, 2020",54.88%,26.19%,9.03%,47.51%,5.54B,18.90,12.00%,4.17B,1.6B,3.04B,10.30,100.00%,5.74B,19.87,1.22B,16.35,2.45,25.87,1.8B,1.12B
rok,1.50,32.40%,5.66%,230.71,115.38,213.47,190.97,1M,616.98k,115.82M,114.98M,0.67%,78.99%,2.93M,2.37,2.53%,2.53%,3.54M,4.08,1.93%,3.98,1.88%,2.14,65.25%,"Sep 09, 2020","Aug 13, 2020",2:1,"Apr 13, 1987","Sep 29, 2019","Mar 30, 2020",10.54%,19.52%,12.77%,62.86%,6.76B,58.08,1.50%,2.9B,1.47B,711.7M,6.08,-61.80%,642.4M,5.55,2.39B,255.21,1.57,5.36,1.27B,833M
gps,1.51,-38.39%,5.66%,19.86,5.26,11.30,12.09,16.51M,13.61M,373.47M,267.39M,44.28%,63.54%,34.16M,1.91,17.49%,9.15%,41.19M,N/A,N/A,0.97,8.24%,4.30,N/A,"Apr 27, 2021","Apr 05, 2021",3:2,"Jun 21, 1999","Jan 31, 2020","May 01, 2020",-5.47%,2.62%,1.84%,-27.45%,14.78B,39.50,-43.10%,8B,936M,-808M,-2.17,N/A,1.08B,2.89,7.97B,343.85,1.23,6.21,442M,152M
schw,1.25,-13.65%,5.66%,51.65,28.00,36.18,38.89,11.15M,8.38M,1.29B,1.15B,10.45%,84.39%,73.8M,6.28,6.40%,5.73%,73.55M,0.72,2.13%,0.69,2.04%,1.00,26.95%,"May 21, 2020","May 06, 2020",3:2,"May 30, 2000","Dec 30, 2019","Mar 30, 2020",33.30%,44.21%,1.08%,14.76%,10.62B,8.17,-3.90%,10.47B,N/A,3.36B,2.56,-17.50%,102.77B,79.82,9.86B,37.52,0.43,18.24,22.04B,N/A
cah,1.00,3.92%,5.66%,60.69,39.05,53.41,51.65,2.43M,1.94M,291.99M,291.4M,0.16%,91.51%,4.12M,1.9,1.61%,1.41%,4M,1.94,3.98%,1.92,3.94%,2.94,N/A,"Jul 14, 2020","Jun 29, 2020",3:2,"Apr 22, 2001","Jun 29, 2019","Mar 30, 2020",-2.71%,1.19%,2.78%,-111.72%,153.59B,522.40,11.20%,6.83B,2.75B,-4.16B,-14.14,18.20%,2.33B,7.98,7.75B,642.79,1.05,4.12,2.23B,1.83B
abmd,0.93,1.51%,5.66%,285.77,119.01,244.97,187.25,522.84k,353.43k,45.04M,43.93M,2.04%,101.37%,2.36M,4.53,6.02%,5.24%,2.88M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Oct 01, 2000","Mar 30, 2020","Mar 30, 2020",24.14%,29.57%,13.69%,20.28%,840.88M,18.61,-0.20%,689.58M,269.07M,203.01M,4.43,-57.00%,443.12M,9.86,12.22M,1.15,4.82,23.67,314.92M,186.58M
anet,1.15,-22.16%,5.66%,289.45,156.63,221.17,211.94,711.93k,431.4k,75.7M,108.73M,28.50%,62.57%,3.91M,6.69,8.51%,5.16%,3.06M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",34.10%,33.05%,12.98%,30.38%,2.34B,30.61,-12.20%,1.54B,807.59M,796.96M,9.89,-31.10%,2.64B,17.42,78.5M,2.76,5.82,37.65,987.78M,702.78M
lvs,1.61,-28.52%,5.66%,74.29,33.30,48.19,53.76,8.03M,4.76M,763.73M,365.54M,56.70%,38.55%,10.12M,1.32,44.54%,1.32%,12.58M,N/A,N/A,3.10,6.94%,5.09,112.78%,"Mar 25, 2020","Mar 16, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",17.81%,24.17%,8.25%,42.18%,11.88B,15.45,-51.10%,10.89B,4.02B,2.12B,2.75,N/A,2.64B,3.45,12.32B,225.80,1.44,5.88,1.85B,1.02B
pxd,1.78,-34.30%,5.66%,159.01,48.62,97.27,104.38,2.62M,1.53M,164.27M,163.19M,0.93%,93.58%,4.88M,1.77,2.99%,2.97%,6.01M,2.2,2.40%,1.43,1.56%,0.29,34.21%,"Jul 13, 2020","Jun 28, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",7.36%,22.42%,7.07%,5.69%,9.44B,56.79,-10.40%,4.03B,3.86B,693M,4.16,-17.40%,826M,5.01,2.91B,23.85,1.00,74.07,3.34B,-317.25M
cdw,1.19,-1.79%,5.66%,146.09,73.39,115.26,116.15,999.44k,792.85k,142.26M,140.8M,0.92%,95.15%,2.01M,1.91,1.62%,1.41%,2.01M,1.52,1.35%,1.35,1.20%,0.96,26.32%,"Jun 09, 2020","May 20, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",4.07%,6.23%,9.04%,82.75%,18.46B,128.20,10.90%,3.04B,1.44B,751.8M,5.14,9.80%,214.4M,1.51,3.95B,443.62,1.28,6.25,997.8M,768.09M
stx,1.06,-1.99%,5.66%,64.17,39.02,50.47,51.77,2.79M,2.27M,256.62M,223.94M,0.68%,91.72%,14.68M,5.72,7.58%,5.72%,12.95M,2.6,5.56%,2.56,5.47%,5.92,38.55%,"Jul 07, 2020","Jun 22, 2020",N/A,N/A,"Jun 27, 2019","Apr 02, 2020",17.57%,12.75%,9.48%,104.62%,10.36B,38.92,17.50%,2.93B,1.73B,1.82B,6.78,64.10%,1.61B,6.29,4.17B,232.59,1.49,6.96,1.77B,809.88M
de,0.95,-4.16%,5.66%,181.99,106.14,156.27,152.52,1.73M,1.07M,312.86M,280.55M,0.23%,80.91%,4.8M,2.54,1.71%,1.54%,4.99M,3.04,1.93%,3.04,1.93%,2.16,34.51%,"Aug 09, 2020","Jun 28, 2020",2:1,"Dec 03, 2007","Nov 02, 2019","May 02, 2020",7.61%,10.15%,3.11%,23.57%,36.8B,117.15,-18.30%,9.18B,5.66B,2.8B,8.81,-41.30%,8.33B,26.62,50.59B,426.40,2.27,37.92,5.68B,-121.2M
pwr,1.14,-2.98%,5.66%,44.09,23.77,38.70,36.61,1.45M,1.22M,137.65M,136.04M,0.92%,100.96%,5.53M,3.66,4.57%,4.02%,6.37M,0.2,0.54%,0.18,0.50%,N/A,8.29%,"Jul 14, 2020","Jun 29, 2020",3:2,"Apr 09, 2000","Dec 30, 2019","Mar 30, 2020",2.65%,4.53%,4.30%,8.70%,12.07B,82.92,-1.50%,1.6B,833.89M,320.24M,2.17,-67.90%,377.2M,2.74,1.95B,51.51,1.78,27.54,836.85M,782.51M
